2.88000E+06	-7.11612E-06	-1.45082E-05	-2.25010E-05
2.91600E+06	-7.15519E-06	-1.45838E-05	-2.26065E-05
2.95200E+06	-7.19365E-06	-1.46582E-05	-2.27101E-05
2.98800E+06	-7.23150E-06	-1.47314E-05	-2.28120E-05
3.02400E+06	-7.26877E-06	-1.48034E-05	-2.29121E-05
3.06000E+06	-7.30546E-06	-1.48743E-05	-2.30106E-05
3.09600E+06	-7.34159E-06	-1.49440E-05	-2.31074E-05
3.13200E+06	-7.37715E-06	-1.50126E-05	-2.32026E-05
3.16800E+06	-7.41217E-06	-1.50802E-05	-2.32961E-05
3.20400E+06	-7.44665E-06	-1.51466E-05	-2.33882E-05
3.24000E+06	-7.48060E-06	-1.52120E-05	-2.34786E-05
3.27600E+06	-7.51403E-06	-1.52764E-05	-2.35676E-05
3.31200E+06	-7.54694E-06	-1.53397E-05	-2.36551E-05
3.34800E+06	-7.57936E-06	-1.54021E-05	-2.37412E-05
3.38400E+06	-7.61128E-06	-1.54634E-05	-2.38258E-05
3.42000E+06	-7.64271E-06	-1.55238E-05	-2.39091E-05
3.45600E+06	-7.67366E-06	-1.55833E-05	-2.39909E-05
3.49200E+06	-7.70414E-06	-1.56418E-05	-2.40715E-05
3.52800E+06	-7.73417E-06	-1.56994E-05	-2.41507E-05
3.56400E+06	-7.76373E-06	-1.57561E-05	-2.42286E-05
3.60000E+06	-7.79285E-06	-1.58119E-05	-2.43053E-05
