t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0.34,-303123.852285441,-100000,-100000,-0.0017,0.000964132708530493,0.000964132708530493,0.000228265417060987,0.00177608847243701,167707.950761814,203123.852285441,0.00109900896473553,0.500342436432527,0.00109900896473553,100000000,0.25,100000,0.577350269189626,1
0.35,-303123.852285441,-100000,-100000,-0.00175,0.00100700622513445,0.00100700622513445,0.000264012450268909,0.00183800415017017,167707.950761814,203123.852285441,0.0011609246424715,0.500396070182043,0.0011609246424715,100000000,0.25,100000,0.577350269189626,1
0.36,-303123.852285441,-100000,-100000,-0.0018,0.00104987974173842,0.00104987974173842,0.000299759483476832,0.00189991982790352,167707.950761814,203123.852285441,0.00122284032020747,0.500449705848841,0.00122284032020747,100000000,0.25,100000,0.577350269189626,1
0.37,-303123.852285441,-100000,-100000,-0.00185,0.00109275325834238,0.00109275325834238,0.000335506516684755,0.00196183550563704,167707.950761814,203123.852285441,0.00128475599794345,0.50050334343299,0.00128475599794345,100000000,0.25,100000,0.577350269189626,1
0.38,-303123.852285441,-100000,-100000,-0.0019,0.00113562677494634,0.00113562677494634,0.000371253549892678,0.0020237511833707,167707.950761814,203123.852285441,0.00134667167567942,0.500556982934557,0.00134667167567942,100000000,0.25,100000,0.577350269189626,1
0.39,-303123.852285441,-100000,-100000,-0.00195,0.0011785002915503,0.0011785002915503,0.0004070005831006,0.00208566686110451,167707.950761814,203123.852285441,0.0014085873534154,0.500610624353611,0.0014085873534154,100000000,0.25,100000,0.577350269189626,1
0.4,-303123.852285441,-100000,-100000,-0.002,0.00122137380815426,0.00122137380815426,0.000442747616308523,0.00214758253883844,167707.950761814,203123.852285441,0.00147050303115137,0.500664267690222,0.00147050303115137,100000000,0.25,100000,0.577350269189626,1
0.41,-303123.852285441,-100000,-100000,-0.00205,0.00126424732475822,0.00126424732475822,0.000478494649516446,0.00220949821657248,167707.950761814,203123.852285441,0.00153241870888735,0.500717912944456,0.00153241870888735,100000000,0.25,100000,0.577350269189626,1
0.42,-303123.852285441,-100000,-100000,-0.0021,0.00130712084136218,0.00130712084136218,0.000514241682724369,0.00227141389430663,167707.950761814,203123.852285441,0.00159433438662332,0.500771560116384,0.00159433438662332,100000000,0.25,100000,0.577350269189626,1
0.43,-303123.852285441,-100000,-100000,-0.00215,0.00134999435796615,0.00134999435796615,0.000549988715932292,0.00233332957204087,167707.950761814,203123.852285441,0.00165625006435929,0.500825209206073,0.00165625006435929,100000000,0.25,100000,0.577350269189626,1
0.44,-303123.852285441,-100000,-100000,-0.0022,0.00139286787457011,0.00139286787457011,0.000585735749140215,0.00239524524977521,167707.950761814,203123.852285441,0.00171816574209527,0.500878860213592,0.00171816574209527,100000000,0.25,100000,0.577350269189626,1
0.45,-303123.852285441,-100000,-100000,-0.00225,0.00143574139117407,0.00143574139117407,0.000621482782348138,0.00245716092750962,167707.950761814,203123.852285441,0.00178008141983124,0.50093251313901,0.00178008141983124,100000000,0.25,100000,0.577350269189626,1
0.46,-303123.852285441,-100000,-100000,-0.0023,0.00147861490777803,0.00147861490777803,0.00065722981555606,0.00251907660524412,167707.950761814,203123.852285441,0.00184199709756722,0.500986167982395,0.00184199709756722,100000000,0.25,100000,0.577350269189626,1
0.47,-303123.852285441,-100000,-100000,-0.00235,0.00152148842438199,0.00152148842438199,0.000692976848763983,0.00258099228297868,167707.950761814,203123.852285441,0.00190391277530319,0.501039824743816,0.00190391277530319,100000000,0.25,100000,0.577350269189626,1
0.48,-303123.852285441,-100000,-100000,-0.0024,0.00156436194098595,0.00156436194098595,0.000728723881971906,0.00264290796071331,167707.950761814,203123.852285441,0.00196582845303917,0.501093483423341,0.00196582845303917,100000000,0.25,100000,0.577350269189626,1
0.49,-303123.852285441,-100000,-100000,-0.00245,0.00160723545758991,0.00160723545758991,0.000764470915179829,0.002704823638448,167707.950761814,203123.852285441,0.00202774413077514,0.501147144021039,0.00202774413077514,100000000,0.25,100000,0.577350269189626,1
0.5,-303123.852285441,-100000,-100000,-0.0025,0.00165010897419388,0.00165010897419388,0.000800217948387752,0.00276673931618275,167707.950761814,203123.852285441,0.00208965980851111,0.501200806536979,0.00208965980851111,100000000,0.25,100000,0.577350269189626,1
0.51,-303123.852285441,-100000,-100000,-0.00255,0.00169298249079784,0.00169298249079784,0.000835964981595675,0.00282865499391756,167707.950761814,203123.852285441,0.00215157548624709,0.501254470971228,0.00215157548624709,100000000,0.25,100000,0.577350269189626,1
0.52,-303123.852285441,-100000,-100000,-0.0026,0.0017358560074018,0.0017358560074018,0.000871712014803598,0.00289057067165241,167707.950761814,203123.852285441,0.00221349116398306,0.501308137323856,0.00221349116398306,100000000,0.25,100000,0.577350269189626,1
0.53,-303123.852285441,-100000,-100000,-0.00265,0.00177872952400576,0.00177872952400576,0.000907459048011521,0.00295248634938731,167707.950761814,203123.852285441,0.00227540684171904,0.501361805594931,0.00227540684171904,100000000,0.25,100000,0.577350269189626,1
0.54,-303123.852285441,-100000,-100000,-0.0027,0.00182160304060972,0.00182160304060972,0.000943206081219444,0.00301440202712226,167707.950761814,203123.852285441,0.00233732251945501,0.501415475784523,0.00233732251945501,100000000,0.25,100000,0.577350269189626,1
0.55,-303123.852285441,-100000,-100000,-0.00275,0.00186447655721368,0.00186447655721368,0.000978953114427366,0.00307631770485724,167707.950761814,203123.852285441,0.00239923819719099,0.501469147892698,0.00239923819719099,100000000,0.25,100000,0.577350269189626,1
0.56,-303123.852285441,-100000,-100000,-0.0028,0.00190735007381764,0.00190735007381764,0.00101470014763529,0.00313823338259227,167707.950761814,203123.852285441,0.00246115387492696,0.501522821919526,0.00246115387492696,100000000,0.25,100000,0.577350269189626,1
0.57,-303123.852285441,-100000,-100000,-0.00285,0.00195022359042161,0.00195022359042161,0.00105044718084321,0.00320014906032733,167707.950761814,203123.852285441,0.00252306955266293,0.501576497865076,0.00252306955266293,100000000,0.25,100000,0.577350269189626,1
0.58,-303123.852285441,-100000,-100000,-0.0029,0.00199309710702557,0.00199309710702557,0.00108619421405113,0.00326206473806242,167707.950761814,203123.852285441,0.00258498523039891,0.501630175729416,0.00258498523039891,100000000,0.25,100000,0.577350269189626,1
0.59,-303123.852285441,-100000,-100000,-0.00295,0.00203597062362953,0.00203597062362953,0.00112194124725906,0.00332398041579755,167707.950761814,203123.852285441,0.00264690090813488,0.501683855512614,0.00264690090813488,100000000,0.25,100000,0.577350269189626,1
0.6,-303123.852285441,-100000,-100000,-0.003,0.00207884414023349,0.00207884414023349,0.00115768828046698,0.00338589609353271,167707.950761814,203123.852285441,0.00270881658587086,0.50173753721474,0.00270881658587086,100000000,0.25,100000,0.577350269189626,1
