t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0.13,-218079.058568975,-52556.2201248809,-52556.2201248809,-0.000632080503329097,0.000316040251664549,0.000316040251664549,0,0.000632080503563292,107730.499606246,165522.838444094,8.03377085154509e-05,0.5,8.03377085154509e-05,100000000,0.25,100000,0.577350269189626,1
0.14,-223202.752940783,-55543.9003862982,-55543.9003862982,-0.000677648804350767,0.000338824402175384,0.000338824402175384,0,0.000677648804569213,111430.184571126,167658.852554485,0.000118785962502485,0.5,0.000118785962502485,100000000,0.25,100000,0.577350269189626,1
0.15,-228251.250030739,-58487.7323190686,-58487.7323190686,-0.000722548327704063,0.000361274163852032,0.000361274163852032,0,0.000722548327908935,115075.571556292,169763.51771167,0.000156669935331828,0.5,0.000156669935331828,100000000,0.25,100000,0.577350269189626,1
0.16,-233219.569096558,-61384.8115998012,-61384.8115998012,-0.000766734776452579,0.000383367388226289,0.000383367388226289,0,0.000766734776645644,118663.06409872,171834.757496757,0.000193952251463388,0.5,0.000193952251463388,100000000,0.25,100000,0.577350269189626,1
0.17,-238102.809624141,-64232.2806870067,-64232.2806870067,-0.00081016456718063,0.000405082283590315,0.000405082283590315,0,0.000810164567363345,122189.123666052,173870.528937135,0.000230596137390182,0.5,0.000230596137390182,100000000,0.25,100000,0.577350269189626,1
0.18,-242896.151805171,-67027.3290995896,-67027.3290995896,-0.000852794834240833,0.000426397417120417,0.000426397417120417,0,0.000852794834414415,125650.27000145,175868.822705582,0.000266565425222228,0.5,0.000266565425222228,100000000,0.25,100000,0.577350269189626,1
0.19,-247594.877290939,-69767.2055186223,-69767.2055186223,-0.000894583614331188,0.000447291807165594,0.000447291807165594,0,0.000894583614496661,129043.096109395,177827.671772317,0.000301824708423465,0.5,0.000301824708423465,100000000,0.25,100000,0.577350269189626,1
0.2,-252194.337259147,-72449.1991667611,-72449.1991667611,-0.000935489562492662,0.000467744781246331,0.000467744781246331,0,0.0009354895626509,132364.245197556,179745.138092386,0.000336339102184709,0.5,0.000336339102184709,100000000,0.25,100000,0.577350269189626,1
0.21,-256689.978315824,-75070.6549119269,-75070.6549119269,-0.000975472182471561,0.00048773609123578,0.00048773609123578,0,0.000975472182623313,135610.429379893,181619.323403897,0.000370074437791905,0.5,0.000370074437791905,100000000,0.25,100000,0.577350269189626,1
0.22,-261077.361789404,-77628.984517886,-77628.984517886,-0.00101449199831413,0.000507245999157067,0.000507245999157067,0,0.00101449199846005,138778.443608392,183448.377271518,0.000402997407409076,0.5,0.000402997407409076,100000000,0.25,100000,0.577350269189626,1
0.23,-265352.163730726,-80121.6666442499,-80121.6666442498,-0.00105251055436658,0.000526255277183291,0.000526255277183291,0,0.00105251055450723,141865.165673075,185230.497086476,0.000435075564078328,0.5,0.000435075564078328,100000000,0.25,100000,0.577350269189626,1
0.24,-269510.174913036,-82546.2468464751,-82546.2468464751,-0.00108949041527505,0.000544745207637524,0.000544745207637524,0,0.00108949041541092,144867.556201995,186963.92806656,0.000466277321719847,0.5,0.000466277321719847,100000000,0.25,100000,0.577350269189626,1
0.25,-273547.300831983,-84900.3375758638,-84900.3375758638,-0.00112539516598563,0.000562697582992814,0.000562697582992814,0,0.00112539516611716,147782.658661237,188646.963256119,0.000496571955131899,0.5,0.000496571955131899,100000000,0.25,100000,0.577350269189626,1
0.26,-277459.561705623,-87181.6181795632,-87181.6181795632,-0.00116018941174436,0.000580094705872181,0.000580094705872181,0,0.00116018941187195,150607.599354916,190277.94352606,0.000525929599990831,0.5,0.000525929599990831,100000000,0.25,100000,0.577350269189626,1
0.27,-281243.092474416,-89387.8349005658,-89387.8349005658,-0.00119383877809724,0.000596919389048619,0.000596919389048619,0,0.00119383877822123,153339.587425183,191855.257573851,0.00055432125285107,0.5,0.00055432125285107,100000000,0.25,100000,0.577350269189626,1
0.28,-284894.143468953,-91516.801267066,-91516.801267066,-0.00122630991682869,0.000613154958414344,0.000613154958414344,0,0.0012263099169494,155975.915334362,193377.342201887,0.00058171877615573,0.5,0.00058171877615573,100000000,0.25,100000,0.577350269189626,1
0.29,-288409.119656942,-93566.4209777944,-93566.4209777944,-0.00125757085501024,0.000628785427505122,0.000628785427505122,0,0.00125757085512795,158513.987204177,194842.698679148,0.000608095192746419,0.5,0.000608095192746419,100000000,0.25,100000,0.577350269189626,1
0.3,-291784.551088537,-95534.6706683754,-95534.6706683753,-0.00128759073215187,0.000643795366075934,0.000643795366075934,0,0.00128759073226683,160951.297475096,196249.880420161,0.000633424464084663,0.5,0.000633424464084663,100000000,0.25,100000,0.577350269189626,1
0.31,-295017.096752058,-97419.6021596392,-97419.6021596392,-0.00131633983449336,0.000658169917246679,0.000658169917246679,0,0.00131633983460581,163285.433690445,197597.494592419,0.000657681519185295,0.5,0.000657681519185295,100000000,0.25,100000,0.577350269189626,1
0.32,-298103.565200778,-99219.354485318,-99219.354485318,-0.00134378977845158,0.000671894889225789,0.000671894889225789,0,0.00134378977856174,165514.091390471,198884.21071546,0.000680842409400044,0.5,0.000680842409400044,100000000,0.25,100000,0.577350269189626,1
0.33,-301040.914552922,-100932.153892046,-100932.153892046,-0.00136991351062045,0.000684956755310227,0.000684956755310227,0,0.00136991351072851,167635.074112338,200108.760660876,0.000702884308417534,0.5,0.000702884308417534,100000000,0.25,100000,0.577350269189626,1
0.34,-303826.252491665,-102556.313839358,-102556.313839358,-0.00139468530777098,0.00069734265388549,0.00069734265388549,0,0.00139468530787712,169646.293390127,201269.938652307,0.00072378551226329,0.5,0.00072378551226329,100000000,0.25,100000,0.577350269189626,1
0.35,-306456.836265135,-104090.234999692,-104090.234999692,-0.00141808077685121,0.000709040388425605,0.000709040388425605,0,0.0014180807769556,171545.768754839,202366.601265443,0.000743525439299734,0.5,0.000743525439299734,100000000,0.25,100000,0.577350269189626,1
0.36,-308930.07268641,-105532.405258386,-105532.405258386,-0.00144007685498626,0.000720038427493131,0.000720038427493131,0,0.00144007685508906,173331.627734394,203397.667428024,0.000762084630226185,0.5,0.000762084630226185,100000000,0.25,100000,0.577350269189626,1
0.37,-311243.518133521,-106881.399713682,-106881.399713682,-0.00146065180947832,0.00073032590473916,0.00073032590473916,0,0.00146065180957967,175002.105853628,204362.118419839,0.000779444748078858,0.5,0.000779444748078858,100000000,0.25,100000,0.577350269189626,1
0.38,-313394.878936741,-108135.880902555,-108135.880902555,-0.00147978524125106,0.000739892620625529,0.000739892620625529,0,0.00147978524135109,176555.54691395,205258.998034186,0.000795588581137105,0.5,0.000795588581137105,100000000,0.25,100000,0.577350269189626,1
