t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q
0.47,188000000,0,0,0.00094,-0.000188,-0.000188,0.000564,0.000752000000196848,-62666666.6666667,188000000,0
0.48,192000000,0,0,0.00096,-0.000192,-0.000192,0.000576,0.000768000000192747,-64000000,192000000,0
0.49,196000000,0,0,0.00098,-0.000196,-0.000196,0.000588,0.000784000000188813,-65333333.3333333,196000000,0
0.5,199986213.058755,-6.68188060624316e-13,-1.07856752780264e-12,0.001,-0.000200020680411868,-0.000200020680411868,0.000599958639176264,0.000800013787126279,-66662071.0195849,199986213.058755,6.89347062267846e-08
0.51,200281847.668503,1.70215240236118e-10,8.39400443481234e-11,0.00102,-0.000209577228497246,-0.000209577228497246,0.000600845543005509,0.000819718152512083,-66760615.889501,200281847.668503,1.85907616574854e-05
0.52,200480604.16333,2.47782353856713e-10,8.41169429571623e-11,0.00104,-0.000219279093755005,-0.000219279093755005,0.000601441812489989,0.000839519396012997,-66826868.0544432,200480604.16333,3.75969791833517e-05
0.53,200672491.55222,5.95628901895281e-10,3.62803763881457e-10,0.00106,-0.00022899126267167,-0.00022899126267167,0.000602017474656659,0.000859327508620043,-66890830.5174066,200672491.55222,5.66375422389017e-05
0.54,200863904.082673,9.51945635195228e-10,6.47774131800333e-10,0.00108,-0.000238704143875991,-0.000238704143875991,0.000602591712248018,0.000879136096085708,-66954634.6942242,200863904.082673,7.56804795866364e-05
0.55,201055316.613126,1.30826236849518e-09,9.32744499719209e-10,0.0011,-0.000248417025080311,-0.000248417025080311,0.000603165949839378,0.000898944683551545,-67018438.8710419,201055316.613126,9.47234169343711e-05
0.56,201246729.143579,1.66457910179512e-09,1.21771486763809e-09,0.00112,-0.000258129906284632,-0.000258129906284632,0.000603740187430737,0.000918753271017541,-67082243.0478596,201246729.143579,0.000113766354282106
